00:00:00:000
1;1
3;25
4;1
5;18
6;18
00:00:48:000
1,2;1
5,2;19
1;1
3;25
4;1
5;19
6;19
1;1
3;25
4;1
5;19
6;19
00:02:29:000
6,1;1
5,2;18
1;1
3;25
4;1
5;18
6;18
1;1
3;25
4;1
5;18
6;18
00:03:24:000
1,2;1
5,2;19
1;1
3;25
4;1
5;19
6;19
1;1
3;25
4;1
5;19
6;19
00:04:35:000
1,2;1
5,2;20
1;1
3;25
4;1
5;20
6;20
1;1
3;25
4;1
5;20
6;20
00:07:40:000
1,2;1
5,2;21
4,2;0
1;1
3;25
4;1
5;21
6;21
1;1
3;25
4;0
5;21
6;21
1;0
3;25
4;0
5;21
6;21
00:18:48:000
6,1;1
5,2;20
4,2;1
1;0
3;25
4;0
5;20
6;20
1;0
3;25
4;1
5;20
6;20
1;1
3;25
4;1
5;20
6;20
00:28:20:000
6,1;1
5,2;19
1;1
3;25
4;1
5;19
6;19
1;1
3;25
4;1
5;19
6;19
00:36:35:000
1,2;1
5,2;20
1;1
3;25
4;1
5;20
6;20
1;1
3;25
4;1
5;20
6;20
00:37:18:000
1,2;1
5,2;21
4,2;0
1;1
3;25
4;1
5;21
6;21
1;1
3;25
4;0
5;21
6;21
1;0
3;25
4;0
5;21
6;21
00:40:28:000
6,1;1
5,2;20
4,2;1
1;0
3;25
4;0
5;20
6;20
1;0
3;25
4;1
5;20
6;20
1;1
3;25
4;1
5;20
6;20
00:50:52:000
1,2;1
5,2;21
4,2;0
1;1
3;25
4;1
5;21
6;21
1;1
3;25
4;0
5;21
6;21
1;0
3;25
4;0
5;21
6;21
00:52:15:000
6,1;1
5,2;20
4,2;1
1;0
3;25
4;0
5;20
6;20
1;0
3;25
4;1
5;20
6;20
1;1
3;25
4;1
5;20
6;20
00:53:03:000
3,1;25
1;1
3;24
4;1
5;20
6;20
00:54:59:000
6,1;1
5,2;19
1;1
3;24
4;1
5;19
6;19
1;1
3;24
4;1
5;19
6;19
00:55:36:000
1,2;1
5,2;20
1;1
3;24
4;1
5;20
6;20
1;1
3;24
4;1
5;20
6;20
01:03:31:000
1,2;1
5,2;21
4,2;0
1;1
3;24
4;1
5;21
6;21
1;1
3;24
4;0
5;21
6;21
1;0
3;24
4;0
5;21
6;21
01:06:08:000
6,1;1
5,2;20
4,2;1
1;0
3;24
4;0
5;20
6;20
1;0
3;24
4;1
5;20
6;20
1;1
3;24
4;1
5;20
6;20
01:09:19:000
3,1;24
1;1
3;24
4;1
5;20
6;20
01:11:17:000
6,1;1
5,2;19
1;1
3;24
4;1
5;19
6;19
1;1
3;24
4;1
5;19
6;19
01:12:53:000
3,1;24
1;1
3;23
4;1
5;19
6;19
01:13:09:000
3,1;23
1;1
3;22
4;1
5;19
6;19
01:15:57:000
6,1;1
5,2;18
1;1
3;22
4;1
5;18
6;18
1;1
3;22
4;1
5;18
6;18
01:16:35:000
1,2;1
5,2;19
1;1
3;22
4;1
5;19
6;19
1;1
3;22
4;1
5;19
6;19
01:26:02:000
3,1;22
1;1
3;33
4;1
5;19
6;19
01:26:20:000
1,2;1
5,2;20
1;1
3;33
4;1
5;20
6;20
1;1
3;33
4;1
5;20
6;20
01:26:26:000
6,1;1
5,2;19
1;1
3;33
4;1
5;19
6;19
1;1
3;33
4;1
5;19
6;19
01:31:02:000
6,1;1
5,2;18
1;1
3;33
4;1
5;18
6;18
1;1
3;33
4;1
5;18
6;18
01:35:29:000
3,1;33
4,2;0
1;1
3;26
4;0
5;18
6;18
1;0
3;26
4;0
5;18
6;18
